control_mode,noise_id,step,method,mean_logscore,std_logscore
zero,W1,10,wdrpp_lower,-1.9720974056818563,0.021489175070474223
zero,W1,11,wdrpp_lower,-1.9093960354915884,0.048877705740703783
zero,W1,12,wdrpp_lower,-1.5098097638465835,0.11546054724731239
zero,W1,13,wdrpp_lower,-1.7478785012407583,0.01449824954841381
zero,W1,14,wdrpp_lower,-2.000235203126463,0.06672729747485547
zero,W1,15,wdrpp_lower,-1.785093491783745,0.08942852933831888
zero,W1,16,wdrpp_lower,-1.851477088323814,0.028180331102497538
zero,W1,17,wdrpp_lower,-2.0453787034449897,0.04319240173631498
zero,W1,18,wdrpp_lower,-1.7163496315440234,0.11606537117112009
zero,W1,19,wdrpp_lower,-1.832513232909985,0.05621631317951176
zero,W1,20,wdrpp_lower,-2.1916319292996236,0.10405240643506027
zero,W1,21,wdrpp_lower,-1.9243511144656833,0.22343345813697957
zero,W1,22,wdrpp_lower,-1.966232256492845,0.005181085694554549
zero,W1,23,wdrpp_lower,-2.047511651240004,0.18856829289814073
zero,W1,24,wdrpp_lower,-2.100239699417977,0.05476790748580797
zero,W1,25,wdrpp_lower,-1.927362743403421,0.06041064513222538
zero,W1,26,wdrpp_lower,-1.7491701184155641,0.19207684375722164
zero,W1,27,wdrpp_lower,-1.8376236050679795,0.11077968125683799
zero,W1,28,wdrpp_lower,-1.9498089693530218,0.025847464475062764
zero,W1,29,wdrpp_lower,-1.8450545592291743,0.11234104082736529
zero,W1,30,wdrpp_lower,-1.9036434028022482,0.057568986491714054
zero,W1,31,wdrpp_lower,-1.8461865460425577,0.1902418059216724
zero,W2,0,noise_drpp,-1.7592756399244802,0.08474321107426766
zero,W2,1,noise_drpp,-1.7525281062103057,0.13414005363774176
zero,W2,2,noise_drpp,-1.6203856653742688,0.33318001360037547
zero,W2,3,noise_drpp,-1.512087094410241,0.01927322610330059
zero,W2,4,noise_drpp,-1.4670315011570214,0.027066993337077596
zero,W2,5,noise_drpp,-1.0894951550508933,0.024997244017851035
zero,W2,6,noise_drpp,-1.670783521270215,0.12881350792356444
zero,W2,7,noise_drpp,-1.6985290732854708,0.03288393858940065
zero,W2,8,noise_drpp,-1.5561630552222956,0.07620026896145898
zero,W2,9,noise_drpp,-1.4445444228305715,0.07574041300752847
zero,W2,10,noise_drpp,-1.5106651882165787,0.01640322791320614
zero,W2,11,noise_drpp,-1.7005322670361571,0.012812235376503738
zero,W2,12,noise_drpp,-1.2728460646385231,0.021269173141283827
zero,W2,13,noise_drpp,-1.8161327163707273,0.07027477399516166
zero,W2,14,noise_drpp,-1.5903738464908153,0.053632870225474485
zero,W2,15,noise_drpp,-1.6165810264423586,0.008511738154580914
zero,W2,16,noise_drpp,-1.6787923078295184,0.10287835398945361
zero,W2,17,noise_drpp,-1.012025254756182,0.10556545913987783
zero,W2,18,noise_drpp,-1.622256946018542,0.17025746291205585
zero,W2,19,noise_drpp,-1.549326832709057,0.14033693301245015
zero,W2,20,noise_drpp,-1.6342962125870808,0.13874892487490634
zero,W2,21,noise_drpp,-1.3799407583300471,0.030389266039771292
zero,W2,22,noise_drpp,-1.6869399570906463,0.03167697693374454
zero,W2,23,noise_drpp,-1.7832750850188337,0.0017386571118520298
zero,W2,24,noise_drpp,-1.6039050158908408,0.04819329002946725
zero,W2,25,noise_drpp,-1.6426109489675653,0.11831021882897541
zero,W2,26,noise_drpp,-1.4547441355988961,0.02754322589213004
zero,W2,27,noise_drpp,-1.5595937057743159,0.033688962042716535
zero,W2,28,noise_drpp,-1.6544587187261233,0.11568427700323144
zero,W2,29,noise_drpp,-1.7892137252750104,0.048778599556130994
zero,W2,30,noise_drpp,-1.63238328819748,0.1177087047475645
zero,W2,31,noise_drpp,-1.711186527147869,0.14829243420829055
zero,W2,0,kde,-1.4321047830418572,0.06707873277765235
zero,W2,1,kde,-1.2456133972902035,0.31898249461315453
zero,W2,2,kde,-0.5067428530686502,0.7891607999548054
zero,W2,3,kde,-1.0599637065480385,0.018586503478041295
zero,W2,4,kde,-0.8182157953539735,0.06032380282689366
zero,W2,5,kde,-0.06649755392859635,0.05601829436213673
zero,W2,6,kde,-1.2035872708515338,0.34177820914006435
zero,W2,7,kde,-1.1760097942224013,0.02198051454041465
zero,W2,8,kde,-0.9567630939530686,0.08817292148502451
zero,W2,9,kde,-0.846694356562496,0.005220048745002778
zero,W2,10,kde,-0.7720839153687193,0.026751268525931175
zero,W2,11,kde,-1.1996692935251145,0.03320758333987864
zero,W2,12,kde,-0.21192670643790668,0.05302110489329956
zero,W2,13,kde,-1.3177218318380546,0.16225109519689854
zero,W2,14,kde,-1.226624405221052,0.0897740763967134
zero,W2,15,kde,-1.2154695766990362,0.03739940224363176
zero,W2,16,kde,-1.1910095514046537,0.08364852902212142
zero,W2,17,kde,-0.09184503895406237,1.027910344757404
zero,W2,18,kde,-1.1362540704229236,0.5299416978405888
zero,W2,19,kde,-1.15036993272533,0.13904046323951638
zero,W2,20,kde,-1.270301123070926,0.06250637300994688
zero,W2,21,kde,-0.8863404585301092,0.17080518828462132
zero,W2,22,kde,-1.1239765339183379,0.028715111600308017
zero,W2,23,kde,-1.2177804309329543,0.006254344758306687
zero,W2,24,kde,-1.0744815633790117,0.2998836269641612
zero,W2,25,kde,-1.1835580003913266,0.17869917876613656
zero,W2,26,kde,-0.8543306318664511,0.021719964293113878
zero,W2,27,kde,-0.8457722010402605,0.04362189752648184
zero,W2,28,kde,-1.2440303807214819,0.03721925184994074
zero,W2,29,kde,-1.2568773728837002,0.01942701635973441
zero,W2,30,kde,-1.4027546617389426,0.032791714763052565
zero,W2,31,kde,-1.293420571700642,0.11781262873550218
zero,W2,0,empirical,0.10915393137496077,0.4733758467247348
zero,W2,1,empirical,0.008511771666672496,0.325850550581461
zero,W2,2,empirical,0.4560428756526502,0.7020902386856488
zero,W2,3,empirical,0.19074875161115767,0.33412554707069425
zero,W2,4,empirical,0.17205758761009715,0.2987467558016231
zero,W2,5,empirical,0.23362909606857873,0.35712048279777275
zero,W2,6,empirical,0.3992932379628049,0.18076858723729614
zero,W2,7,empirical,0.27013202906513056,0.5368264444407967
zero,W2,8,empirical,0.44907445941238033,0.00858102521984286
zero,W2,9,empirical,0.4207701304895757,0.1536568446141976
zero,W2,10,empirical,0.6168452681441394,0.02501131183359659
zero,W2,11,empirical,0.25592633727638603,0.27866655455035233
zero,W2,12,empirical,0.33830831981025744,0.02731465789601129
